::1 | GET | / | 304
::1 | GET | /stylesheets/style.css | 304
::1 | GET | /regstrer | 404
::1 | GET | /stylesheets/style.css | 304
::1 | GET | /regstrer | 404
::1 | GET | /stylesheets/style.css | 304
::1 | GET | /authregstrer | 404
::1 | GET | /stylesheets/style.css | 304
::1 | GET | /auth/regstrer | 404
::1 | GET | /stylesheets/style.css | 304
::1 | GET | /auth/regstrer | 404
::1 | GET | /stylesheets/style.css | 304
::1 | GET | /auth/registrer | 404
::1 | GET | /stylesheets/style.css | 304
::1 | GET | / | 200
::1 | GET | /stylesheets/style.css | 304
::1 | GET | / | 304
::1 | GET | /stylesheets/style.css | 304
::1 | GET | /Task/ | 200
::1 | POST | /auth/registrer | 404
::1 | POST | /auth/registrer | 404
::1 | POST | /auth/registrer | 500
::1 | POST | /auth/registrer | 500
::1 | POST | /auth/registrer | 500
::1 | POST | /auth/registrer | 201
::1 | POST | /auth/login | 200
::1 | GET | /Task/ | 304
::1 | POST | /auth/login | 400
::1 | POST | /auth/login | 400
::1 | POST | /auth/login | 400
::1 | POST | /auth/login | 400
::1 | POST | /auth/login | 401
::1 | POST | /auth/registrer | 201
::1 | POST | /auth/login | 200
::1 | POST | /auth/verifyToken | 400
::1 | POST | /auth/verifyToken | 400
::1 | POST | /auth/verifyToken | 401
::1 | POST | /auth/verifyToken | 401
::1 | POST | /auth/verifyToken | 401
::1 | POST | /auth/verifyToken | 404
::1 | POST | /auth/verifyToken | 404
::1 | POST | /auth/verifyToken | 500
::1 | POST | /auth/verifyToken | 200
::1 | POST | /auth/verifyToken | 200
::1 | POST | /auth/registrer? | 200
::1 | POST | /auth/registrer? | 200
::1 | POST | /auth/registrer? | 401
::ffff:127.0.0.1 | GET | / | 200
